WindowSize,BatchSize,clFFT (ns),cuFFT (ns),OCCA (ns)
64,2,17312,32864,7200
64,3127,13312,19456,5760
64,6252,6976,22016,6528
64,9377,17536,21088,5952
64,12502,16672,23712,7776
64,15627,20960,25408,5728
64,18752,20064,26752,5632
64,21877,22368,30016,5920
64,25002,25088,31264,5792
64,28127,24448,27872,5568
64,31252,30880,29344,5888
64,34377,26656,49248,5920
64,37502,27264,39424,8128
64,40627,26432,33696,6208
64,43752,30048,36128,4864
64,46877,27200,44192,5248
64,50002,30304,37920,4992
64,53127,27168,39456,4288
64,56252,31136,40512,4608
64,59377,22016,42432,5248
64,62502,38368,45632,4960
64,65627,33728,38656,4576
64,68752,35584,42272,5376
64,71877,35712,44352,5536
64,75002,35968,43872,5184
64,78127,37568,49120,5376
64,81252,36448,48736,8736
64,84377,39264,47808,6368
64,87502,39552,50784,5312
64,90627,39968,52640,4992
64,93752,40704,56032,6048
64,96877,40480,53568,5856
64,100002,43520,57440,6176
64,103127,52832,56992,6208
64,106252,46528,60864,5088
64,109377,47936,58784,6528
64,112502,48704,66656,6528
64,115627,48128,61024,7360
64,118752,49152,65056,6368
64,121877,51136,68608,6752
64,125002,51584,64960,9376
64,128127,50816,67200,6432
64,131252,52992,68192,7232
64,134377,53088,67680,6656
64,137502,54176,67424,5792
64,140627,55648,70176,6272
64,143752,55584,72672,5280
64,146877,57664,70592,6144
64,150002,58048,73152,6496
64,153127,58976,73888,7072
64,156252,59328,75968,7040
64,159377,61856,77440,6464
64,162502,63104,76224,9664
64,165627,66208,80288,6464
64,168752,64032,84928,7360
64,171877,63072,82944,6560
64,175002,65056,82112,5984
64,178127,64608,83936,7744
64,181252,67616,86848,9184
64,184377,67904,85056,7648
64,187502,69024,89120,6304
64,190627,68512,86144,6368
64,193752,70560,87680,7360
64,196877,69984,88096,6848
64,200002,72672,92640,9088
64,203127,76608,93568,6592
64,206252,72800,89056,6464
64,209377,74560,95680,6432
64,212502,74240,95168,6464
64,215627,77824,98976,6336
64,218752,76448,97312,5920
64,221877,79744,104960,6880
64,225002,77600,103200,5664
64,228127,80736,99520,6496
64,231252,79584,100480,5920
64,234377,79296,103456,5696
64,237502,81600,103840,5856
64,240627,81920,105760,6496
64,243752,82624,105408,8864
64,246877,83968,108000,6464
64,250002,85984,114336,6560
64,253127,85664,108736,7008
64,256252,87552,110272,6336
64,259377,87072,110912,9152
64,262502,88160,110528,7552
64,265627,93920,113824,10880
64,268752,90752,113632,5824
64,271877,91296,115264,6432
64,275002,93408,125024,6496
64,278127,91648,119808,7392
64,281252,92864,117888,7072
64,284377,95840,118272,5792
64,287502,96256,119424,9344
64,290627,96128,128639,6240
64,293752,96608,122624,6592
64,296877,98016,129088,6176
64,300002,97952,129824,5792
64,303127,101216,126240,6272
64,306252,98528,124736,6592
64,309377,99872,136576,5888
64,312502,102848,127808,5312
64,315627,101216,129503,5952
64,318752,104384,130144,6208
64,321877,103296,133216,5728
64,325002,106976,133280,5632
64,328127,105888,131072,6240
64,331252,114848,137696,5792
64,334377,108768,140832,5536
64,337502,107008,135328,9312
64,340627,107616,137088,6784
64,343752,109312,142400,5760
64,346877,111648,146976,6976
64,350002,112416,140864,6592
64,353127,112640,146368,6240
64,356252,113920,144256,6432
64,359377,114112,145728,6368
64,362502,113600,145440,5568
64,365627,118176,146816,5888
64,368752,115008,146976,9728
64,371877,118304,148064,6784
64,375002,118912,152256,7008
64,378127,119136,151456,6592
64,381252,121568,153472,5632
64,384377,127584,151776,7136
64,387502,121088,153120,6304
64,390627,121824,156096,6976
64,393752,123456,156768,9440
64,396877,130240,160192,7456
64,400002,125568,162048,7200
64,403127,125056,158624,6784
64,406252,126368,158688,7584
64,409377,128640,161216,6688
64,412502,126400,158784,7808
64,415627,125792,167456,8159
64,418752,129632,162912,6592
64,421877,129856,162208,6016
64,425002,131456,164992,6112
64,428127,129344,167104,6144
64,431252,134624,173856,6656
64,434377,132224,171648,6112
64,437502,131584,172064,6048
64,440627,137888,174112,6464
64,443752,141632,174176,6112
64,446877,136448,174016,6368
64,450002,136576,173984,5984
64,453127,136640,174688,5984
64,456252,138848,176032,9120
64,459377,141504,176928,5920
64,462502,139360,180192,5632
64,465627,140672,180224,5792
64,468752,141248,185824,6624
64,471877,142944,187520,6112
64,475002,143264,185696,5600
64,478127,143264,185760,9376
64,481252,147680,188928,6272
64,484377,146848,185728,6848
64,487502,148096,187168,5824
64,490627,149536,187360,6304
64,493752,150336,189056,8960
64,496877,157152,190144,6432
64,500002,150272,192288,6336
64,503127,149280,193056,5888
64,506252,150496,193792,6016
64,509377,154176,193088,6880
64,512502,154496,196416,6240
64,515627,154496,198496,7072
64,518752,155200,200256,6688
64,521877,161056,197344,7200
64,525002,157440,196160,6464
64,528127,163712,200352,9504
64,531252,159648,200704,6560
64,534377,160672,201888,6592
64,537502,159040,207488,6208
64,540627,165504,204768,6944
64,543752,159328,206208,6496
64,546877,161184,207744,7040
64,550002,162912,209728,6464
64,553127,162272,210048,6816
64,556252,165824,232576,6688
64,559377,171776,210272,6176
64,562502,169056,211744,7168
64,565627,166368,213216,6368
64,568752,171200,218048,6400
64,571877,167872,212288,5856
64,575002,169216,217312,6656
64,578127,168576,218272,6336
64,581252,170912,221728,6240
64,584377,172064,220448,5600
64,587502,170880,222944,7008
64,590627,172608,220096,5792
64,593752,174848,222880,5568
64,596877,175360,230880,5600
64,600002,175776,224896,6048
64,603127,174976,228736,5184
64,606252,178400,226336,5856
64,609377,180672,229312,5984
64,612502,186400,232672,6592
64,615627,180032,229888,6112
64,618752,181856,230144,6208
64,621877,182528,236384,6496
64,625002,179200,233120,5408
64,628127,182112,235200,5216
64,631252,184832,234464,5664
64,634377,185024,235392,7456
64,637502,185056,233952,5952
64,640627,189632,234080,6304
64,643752,187840,236448,5952
64,646877,187840,239648,7040
64,650002,191200,237792,7360
64,653127,189248,239456,6912
64,656252,197600,241856,6400
64,659377,192960,242240,9504
64,662502,195808,243744,7520
64,665627,195168,244512,6720
64,668752,197056,246176,5952
64,671877,195072,254592,11648
64,675002,196384,251456,6720
64,678127,197152,247648,6720
64,681252,198656,249184,5888
64,684377,198112,252512,5888
64,687502,198656,252384,5664
64,690627,200576,252256,5760
64,693752,202688,252896,6752
64,696877,209536,254880,8928
64,700002,209376,255295,5888
64,703127,202912,255968,6272
64,706252,205536,263936,5888
64,709377,204960,258816,5472
64,712502,205984,261568,5856
64,715627,207200,261280,6016
64,718752,208768,265216,5152
64,721877,209504,262656,6336
64,725002,209568,263520,5632
64,728127,208480,266112,5536
64,731252,212928,267648,6784
64,734377,213440,266976,5760
64,737502,211264,268416,5888
64,740627,213536,269760,6272
64,743752,222688,271392,9408
64,746877,220160,271360,7328
64,750002,216160,272192,5216
64,753127,218464,274432,5408
64,756252,219232,275552,5088
64,759377,220064,276512,5504
64,762502,219008,278368,6656
64,765627,219008,277312,7712
64,768752,220576,284736,6304
64,771877,221664,278720,6912
64,775002,225344,279872,7040
64,778127,222944,284224,5888
64,781252,224000,283136,5760
64,784377,222880,282400,6688
64,787502,224896,286656,7296
64,790627,226624,286624,6624
64,793752,228096,286880,6912
64,796877,236064,289408,8864
64,800002,230208,291232,6528
64,803127,229664,289248,6752
64,806252,229376,291040,6176
64,809377,234560,293920,6400
64,812502,232544,295712,6784
64,815627,232128,299520,5888
64,818752,236256,294464,7200
64,821877,236640,302912,6848
64,825002,235776,298752,6848
64,828127,235776,299808,7040
64,831252,235936,302272,7104
64,834377,244544,302784,5504
64,837502,238784,302656,11840
64,840627,240768,304352,6624
64,843752,239840,304832,12928
64,846877,241472,306592,6464
64,850002,244160,307072,5376
64,853127,243968,308352,8031
64,856252,243552,310304,5536
64,859377,242560,310176,5632
64,862502,243712,313152,5888
64,865627,246144,312256,6144
64,868752,247840,313216,6048
64,871877,248448,314048,6240
64,875002,248992,315360,5376
64,878127,247680,314528,7168
64,881252,252224,316288,6624
64,884377,253728,317664,6528
